Condition\Participate ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Mean
59,17901.25599,26357.67427,45215.958,9516.037808,8202.164044,75845.22542,290170.3376,17080.20644,24219.19388,35754.89973,9039.534248,265110.2732,25124.31568,62925.7968,65175.9195
60,26998.68005,20350.5478,38414.5083,12923.16558,93367.85955,192279.5334,28287.99416,36802.84465,85635.53185,179009.396,80886.44978,46418.6078,44343.79704,118028.8997,71696.27254
61,25848.06889,74969.64363,12809.06592,43256.70816,136808.6117,195950.1913,53640.20547,100331.4401,105668.4221,94767.59127,196845.2602,113202.5603,40832.73521,231965.4712,101921.1411
62,27641.20402,319781.9566,22462.67469,10783.08528,242191.8137,161460.0531,75715.45607,8984.819873,206377.9495,113505.0538,82308.16652,150988.7156,112993.6548,108853.9433,117432.0391
63,111882.7384,80128.13249,32454.94669,14657.36528,154016.4961,119018.1495,73733.38902,523709.5588,159733.3755,50143.02066,77237.29888,358402.2553,46130.63999,162942.8421,140299.3006
64,36888.15326,85212.08612,33803.02929,27091.80183,152308.6923,161628.0192,88406.86156,11353.3428,43087.81875,355990.3011,115205.962,12749.83235,58746.10188,186798.7808,97805.05595
65,71324.95232,28591.17081,68225.62795,15770.15303,233381.3282,162705.7726,34563.99782,13035.9445,9850.192959,64450.89816,27446.95598,92899.68072,70600.44295,436526.4879,94955.25757
66,49269.55877,254024.6629,19100.51162,18404.00306,71829.50386,125100.056,93436.58163,247048.0824,137943.5028,541702.8269,82987.15561,69809.81199,47178.11101,110236.4163,133433.6275
67,35126.16551,234574.5538,14904.5878,23979.19403,50042.89465,324639.6213,33657.10948,395127.9255,18562.92048,106581.8379,53993.88964,56665.88913,73571.78819,23851.86804,103234.3033
68,69524.83531,52251.33038,53015.12307,19538.36852,93027.21161,181679.6312,19745.37239,26868.12062,21735.97654,126567.1439,48868.80628,77572.35417,102407.9001,322943.1899,86838.95457
69,289209.402,103259.7082,56703.61927,13080.3837,11770.94979,64534.42282,62891.09491,318489.5755,30454.96202,138659.5896,394321.4615,58712.89642,94215.42513,167769.5145,128862.3575
70,86957.88751,226043.6691,12497.27752,17215.87146,176812.9153,257705.2449,34900.43262,47520.55854,44792.03939,214209.9939,55535.25411,47792.17328,149128.6452,235114.9184,114730.4915
71,25404.562,188810.1317,19343.06539,111360.7407,37524.74567,111932.4233,13990.80757,125639.1677,34418.42146,41517.70278,211764.4765,29223.75916,46405.51047,324150.8213,94391.88112
72,65663.31551,168670.1781,33817.10637,15932.1582,230672.8361,57796.28051,34625.70083,463825.5161,48025.98082,439148.6909,339215.9241,72472.50212,65723.11984,123344.172,154209.5344
73,73909.13765,268710.1114,50103.29602,25735.95271,179443.1344,165720.2737,22821.46304,33476.09614,36784.52768,63769.6781,78640.29417,146160.3255,67959.51211,187752.67,100070.4623
74,23457.18806,50103.95398,29268.82189,27406.19987,29532.48073,134462.3887,241124.8605,41808.91646,68884.17746,409154.805,415028.9247,454711.1775,119877.2481,21679.9998,147607.2245
75,21102.10864,465845.1718,25386.70161,19478.73826,174647.0938,204575.2046,48559.69486,423332.4856,20496.22445,115438.5915,125306.2139,67991.30938,41459.03638,121864.1161,133963.0493
76,256925.3549,82733.01943,24766.47992,10653.09721,175145.1287,171060.0086,171549.2336,23170.66334,22581.10724,505586.6387,44199.29239,130048.0687,73563.3871,40673.30658,123761.0562
77,23592.84355,33015.19907,28022.1433,82984.91769,119942.4203,73524.93432,167599.2143,55635.03038,106252.3853,403182.0808,143737.1884,133053.1116,26527.51403,327558.6538,123187.6883
